,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date,Scheme Category,Scheme Sub-category,Regular/Direct,IDCW Scheme,Bonus Option,Reinvestment Scheme,Benchmark
0,120348,INF205K01LE4,-,Invesco India Contra Fund - Direct Plan - Growth,144.32,2025-04-02,Equity Scheme,Contra Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
1,120349,INF205K01LC8,INF205K01LD6,Invesco India Contra Fund - Direct Plan - IDCW (Payout / Reinvestment),67.27,2025-04-02,Equity Scheme,Contra Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,Nifty 500
2,105460,INF205K01189,-,Invesco India Contra Fund - Growth,123.53,2025-04-02,Equity Scheme,Contra Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
3,105459,INF205K01205,INF205K01197,Invesco India Contra Fund - IDCW (Payout / Reinvestment),50.42,2025-04-02,Equity Scheme,Contra Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,Nifty 500
4,103040,INF174K01245,-,Kotak India EQ Contra Fund - Growth,136.463,2025-04-02,Equity Scheme,Contra Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
5,119769,INF174K01KZ9,-,Kotak India EQ Contra Fund - Growth - Direct,160.327,2025-04-02,Equity Scheme,Contra Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
6,103039,INF174K01260,INF174K01252,Kotak India EQ Contra Fund - Payout of Income Distribution cum capital withdrawal option,47.038,2025-04-02,Equity Scheme,Contra Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
7,119768,INF174K01LA0,-,Kotak India EQ Contra Fund - Payout of Income Distribution cum capital withdrawal option- Direct,57.052,2025-04-02,Equity Scheme,Contra Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
8,119835,INF200K01RA0,-,SBI CONTRA FUND - DIRECT PLAN - GROWTH,390.6817,2025-04-02,Equity Scheme,Contra Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
9,119724,INF200K01QY2,INF200K01QZ9,SBI Contra Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),82.4509,2025-04-02,Equity Scheme,Contra Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
10,100915,INF200K01347,INF200K01354,SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),62.1877,2025-04-02,Equity Scheme,Contra Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
11,102414,INF200K01362,-,SBI CONTRA FUND - REGULAR PLAN -GROWTH,358.6264,2025-04-02,Equity Scheme,Contra Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
12,119507,INF209K01WA1,-,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,456.24,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
13,101738,INF209K01405,-,Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,416.4,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
14,119506,INF209K01Q55,INF209K01WB9,Aditya Birla Sun Life Dividend Yield Fund -DIRECT - IDCW,45.56,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
15,101737,INF209K01397,INF209K01CP1,Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,25.12,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
16,152810,INF251K01TV5,-,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - Growth Option,8.9784,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
17,152809,INF251K01TW3,INF251K01TX1,Baroda BNP Paribas Dividend Yield Fund - Direct Plan - IDCW Option,8.9784,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
18,152807,INF251K01TS1,-,Baroda BNP Paribas Dividend Yield Fund - Regular Plan - Growth Option,8.894,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
19,152808,INF251K01TT9,INF251K01TU7,Baroda BNP Paribas Dividend Yield Fund - Regular Plan - IDCW Option,8.894,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
20,118527,INF090I01IT8,-,Templeton India Equity Income Fund - Direct - Growth,144.2934,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
21,118526,INF090I01IR2,INF090I01IS0,Templeton India EQUITY INCOME FUND - Direct - IDCW ,28.1774,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
22,103679,INF090I01932,INF090I01940,Templeton India EQUITY INCOME FUND - IDCW ,24.9927,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
23,103678,INF090I01957,-,Templeton India Equity Income Fund-Growth Plan,132.1636,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
24,148609,INF179KC1AO6,-,HDFC Dividend Yield Fund - Growth Option Direct Plan,24.39,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
25,148610,INF179KC1AR9,-,HDFC Dividend Yield Fund - Growth Plan,22.923,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
26,148608,INF179KC1AP3,INF179KC1AQ1,HDFC Dividend Yield Fund - IDCW Option Direct Plan,21.143,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
27,148611,INF179KC1AS7,INF179KC1AT5,HDFC Dividend Yield Fund - IDCW Plan,19.662,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
28,129312,INF109KA1UA0,-,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,54.45,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
29,129309,INF109KA1UB8,INF109KA1UC6,ICICI Prudential Dividend Yield Equity Fund Direct Plan IDCW Option,24.99,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
30,129310,INF109KA1TX4,-,ICICI Prudential Dividend Yield Equity Fund Growth Option,49.0,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
31,129311,INF109KA1TY2,INF109KA1TZ9,ICICI Prudential Dividend Yield Equity Fund IDCW Option,19.51,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
32,152022,INF397L01LC1,-,LIC MF Dividend Yield Fund-Direct Plan-Growth,30.2371,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
33,152021,INF397L01KZ4,INF397L01LA5,LIC MF Dividend Yield Fund-Direct Plan-IDCW,30.226,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
34,152019,INF397L01KY7,-,LIC MF Dividend Yield Fund-Regular Plan-Growth,28.0345,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
35,152020,INF397L01KV3,INF397L01KW1,LIC MF Dividend Yield Fund-Regular Plan-IDCW,28.034,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
36,151478,INF200KA14W3,-,SBI Dividend Yield Fund - Direct Plan - Growth,14.3793,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
37,151475,INF200KA15W0,INF200KA16W8,SBI Dividend Yield Fund - Direct Plan - Income Distribution cum Capital Withdrawal (IDCW) Option,14.3806,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
38,151476,INF200KA11W9,-,SBI Dividend Yield Fund - Regular Plan - Growth,14.0719,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
39,151477,INF200KA12W7,INF200KA13W5,SBI Dividend Yield Fund - Regular Plan - Income Distribution cum Capital Withdrawal (IDCW) Option,14.0717,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
40,149700,INF173K01EV3,-,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund) - Direct Plan - Growth Option,138.6872,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
41,149699,INF173K01ES9,INF173K01ET7,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)- Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option,64.0941,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
42,149698,INF173K01AD9,INF173K01AE7,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)- Half Yearly Income Distribution CUM Capital Withdrawal Plan,38.427,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
43,149697,INF173K01AC1,-,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund)-Growth Plan,127.542,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
44,148947,INF277K015Z8,-,Tata Dividend Yield Fund-Direct Plan-Growth,17.3703,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
45,148952,INF277K017Z4,-,Tata Dividend Yield Fund-Direct Plan-IDCW Payout,17.3703,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
46,148951,-,INF277K016Z6,Tata Dividend Yield Fund-Direct Plan-IDCW Reinvestment,17.3703,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,Nifty 500
47,148948,INF277K018Z2,-,Tata Dividend Yield Fund-Regular Plan-Growth,16.2146,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
48,148950,INF277KA1018,-,Tata Dividend Yield Fund-Regular Plan-IDCW Payout,16.2146,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
49,148949,-,INF277K019Z0,Tata Dividend Yield Fund-Regular Plan-IDCW Reinvestment,16.2146,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,Nifty 500
50,120750,INF789F01SU8,INF789F01SV6,UTI Dividend Yield Fund - Direct Plan - IDCW,37.845,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
51,103025,INF789F01448,INF789F01455,UTI Dividend Yield Fund - Regular Plan - IDCW,31.6373,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
52,103026,INF789F01463,-,UTI-Dividend Yield Fund.-Growth,163.7497,2025-04-02,Equity Scheme,Dividend Yield Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
53,120749,INF789F01SW4,-,UTI-Dividend Yield Fund.-Growth-Direct,176.4224,2025-04-02,Equity Scheme,Dividend Yield Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,Nifty 500
54,151165,INF579M01AN2,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,13.0667,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
55,151166,INF579M01AO0,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - IDCW Payout,13.0667,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
56,151164,INF579M01AL6,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,12.993,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
57,151167,INF579M01AM4,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,12.993,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
58,119544,INF209K01UN8,-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,60.66,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
59,107745,INF209K01108,-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,54.47,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
60,119543,INF209K01P23,INF209K01UM0,Aditya Birla Sun Life ELSS Tax Saver Fund-DIRECT - IDCW,405.6,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
61,103164,INF209K01090,INF209K01CB1,Aditya Birla Sun Life ELSS Tax Saver Fund-Regular - IDCW,177.8,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
62,120503,INF846K01EW2,-,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,101.0307,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
63,120502,INF846K01EX0,INF846K01EY8,Axis ELSS Tax Saver Fund - Direct Plan - IDCW,51.0334,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
64,112323,INF846K01131,-,Axis ELSS Tax Saver Fund - Regular Plan - Growth,89.6511,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
65,112322,INF846K01149,INF846K01156,Axis ELSS Tax Saver Fund - Regular Plan - IDCW,23.9623,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
66,153201,INF0QA701AK0,-,BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - GROWTH,10.411,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
67,153203,INF0QA701AL8,-,BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - IDCW,10.411,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
68,153202,INF0QA701AI4,-,BAJAJ FINSERV ELSS TAX SAVER FUND - REGULAR - GROWTH,10.378,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
69,153200,INF0QA701AJ2,-,BAJAJ FINSERV ELSS TAX SAVER FUND - REGULAR - IDCW,10.378,2025-04-02,Equity Scheme,ELSS,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
70,118473,INF194K01Y29,-,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,161.091,2025-04-02,Equity Scheme,ELSS,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
71,118472,INF194K01Y37,INF194K01Y45,BANDHAN ELSS Tax Saver Fund - Direct Plan - IDCW,39.784,2025-04-02,Equity Scheme,ELSS,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
72,111569,INF194K01292,-,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,140.709,2025-04-02,Equity Scheme,ELSS,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
